Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Oddworld: Abe's Oddysee,PS,1997,Platform,GT Interactive,0.75,0.44,0,0.06,1.24,85,10,9,96,Oddworld Inhabitants,T
Castlevania: Symphony of the Night,PS,1997,Platform,Konami Digital Entertainment,0.58,0.4,0.21,0.08,1.27,93,12,9.4,358,Konami,T
Bushido Blade,PS,1997,Fighting,Sony Computer Entertainment,0.39,0.27,0.43,0.08,1.16,83,13,7.9,16,Light Weight,T
Colony Wars,PS,1997,Simulation,Psygnosis,0.24,0.16,0,0.03,0.42,91,12,7.8,12,Psygnosis,E
Ace Combat 2,PS,1997,Simulation,Sony Computer Entertainment,0.16,0.11,0.56,0.06,0.89,83,10,8.2,22,Namco,T
Alundra,PS,1997,Role-Playing,Psygnosis,0.13,0.09,0,0.01,0.23,86,9,9,41,Matrix Software,T
Monster Rancher,PS,1997,Simulation,Tecmo Koei,0.12,0.08,0.74,0.07,1.01,86,5,8.3,10,Tecmo,
RPG Maker,PS,1997,Role-Playing,ASCII Entertainment,0.11,0.07,0.29,0.03,0.5,66,11,8.2,9,Kuusou Kagaku,E
RayStorm,PS,1997,Shooter,Sony Computer Entertainment,0.04,0.03,0,0,0.07,79,7,7.8,4,Taito Corporation,E
Elemental Gearbolt,PS,1997,Shooter,Sony Computer Entertainment,0.03,0.02,0,0,0.06,76,11,tbd,,Alfa System,T
Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,91,12,8.9,432,Naughty Dog,E
Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,96,15,9.1,367,Namco,T
Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,94,20,9.4,918,KCEJ,M
Need for Speed III: Hot Pursuit,PS,1998,Racing,Electronic Arts,2.14,0.86,0,0.13,3.12,88,13,,,EA Canada,E
Resident Evil 2,PS,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,89,13,9.2,364,Capcom,M
Medal of Honor,PS,1998,Shooter,Electronic Arts,1.44,1.09,0,0.14,2.67,92,17,8.6,80,Dreamworks Interactive,T
Grand Theft Auto 2,PS,1998,Action,Take-Two Interactive,1.13,2.07,0,0.22,3.42,70,15,8,67,DMA Design,T
Parasite Eve,PS,1998,Role-Playing,SquareSoft,0.94,0.07,1.05,0.04,2.1,81,17,8.9,89,SquareSoft,M
R4: Ridge Racer Type 4,PS,1998,Racing,Namco Bandai Games,0.68,0.46,0.79,0.13,2.06,88,18,9.2,21,Namco,
Oddworld: Abe's Exoddus,PS,1998,Platform,GT Interactive,0.55,0.38,0,0.06,0.99,88,13,9.1,69,Oddworld Inhabitants,T
Street Fighter Alpha 3,PS,1998,Fighting,Virgin Interactive,0.38,0.12,0.51,0.02,1.03,93,12,8.5,46,Capcom,T
Xenogears,PS,1998,Role-Playing,SquareSoft,0.29,0.19,0.89,0.1,1.46,84,15,8.4,204,SquareSoft,T
Lunar: Silver Star Story Complete,PS,1998,Role-Playing,Kadokawa Shoten,0.27,0.18,0.06,0.04,0.55,78,15,9.1,35,Game Arts,T
Star Ocean: The Second Story,PS,1998,Role-Playing,Sony Computer Entertainment,0.26,0.1,0.72,0.02,1.1,80,13,8.5,44,Tri-Ace,E
Brave Fencer Musashi,PS,1998,Role-Playing,SquareSoft,0.25,0.17,0.65,0.07,1.14,81,12,8.5,17,SquareSoft,E
Monster Rancher 2,PS,1998,Simulation,Sony Computer Entertainment,0.19,0.13,0.66,0.07,1.05,83,6,,,Tecmo,E
Suikoden II,PS,1998,Role-Playing,Konami Digital Entertainment,0.15,0.1,0.38,0.04,0.68,82,8,8.4,162,Konami,T
Gundam Battle Assault,PS,1998,Fighting,Namco Bandai Games,0.13,0.09,0,0.02,0.23,61,4,7.8,4,Natsume,T
Dead or Alive,PS,1998,Fighting,Sony Computer Entertainment,0.09,0.06,0.1,0.02,0.28,84,10,8.6,18,Team Ninja,T
Bomberman Party Edition,PS,1998,Puzzle,Virgin Interactive,0.07,0.05,0,0.01,0.12,79,6,8.3,6,Metro,E
Strikers 1945,PS,1998,Shooter,Midas Interactive Entertainment,0.07,0.05,0,0.01,0.12,63,5,8.2,6,Psikyo,E
Vanguard Bandits,PS,1998,Strategy,Human Entertainment,0.04,0.03,0,0,0.07,62,5,7.4,15,S-Neo,T
Silhouette Mirage,PS,1998,Platform,ESP,0.03,0.02,0,0,0.05,69,8,7.5,4,Treasure,E
Clock Tower II: The Struggle Within,PS,1998,Adventure,Human Entertainment,0.02,0.01,0.12,0.01,0.17,49,5,5.7,7,Human Entertainment,M
Planescape: Torment,PC,1998,Role-Playing,Interplay,0.01,0.02,0,0,0.03,91,22,9.2,813,Black Isle Studios,T
ISS Pro Evolution,PS,1998,Sports,Konami Digital Entertainment,0,0,0.71,0.05,0.76,94,4,8.7,40,KCET,E
StarCraft,PC,1998,Strategy,Activision,0,0.04,0,0.01,0.05,88,15,9.1,813,Blizzard Entertainment,T
Homeworld,PC,1998,Strategy,Vivendi Games,0,0.02,0,0,0.02,93,20,9,326,Relic,E
Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,93,23,9,135,Polyphony Digital,T
Tony Hawk's Pro Skater,PS,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02,92,18,9.2,69,Neversoft Entertainment,T
Driver,PS,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,87,22,8.1,78,Reflections Interactive,T
Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79,88,20,9,233,Naughty Dog,E
Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,90,24,8.6,644,SquareSoft,T
Need For Speed: High Stakes,PS,1999,Racing,Electronic Arts,1.58,0.64,0,0.09,2.31,86,14,8.5,28,EA Canada,E
The Legend of Dragoon,PS,1999,Role-Playing,Sony Computer Entertainment,0.94,0.44,0.39,0.1,1.86,74,12,8.4,248,SCEI,T
Frogger 2: Swampy's Revenge,PS,1999,Action,Hasbro Interactive,0.8,0.54,0,0.09,1.43,77,4,7.9,8,Blitz Games,E
Ape Escape,PS,1999,Platform,Sony Computer Entertainment,0.71,0.48,0.32,0.11,1.63,90,19,8.8,53,SCEI,E
Silent Hill,PS,1999,Action,Konami Digital Entertainment,0.71,0.48,0.3,0.1,1.6,86,17,9.2,326,KCET,M
Chrono Cross,PS,1999,Role-Playing,SquareSoft,0.62,0.42,0.69,0.12,1.86,94,16,8.1,297,SquareSoft,T
Shenmue,DC,1999,Adventure,Sega,0.52,0.24,0.38,0.04,1.18,88,9,9.4,201,Sega AM2,T
SnoCross Championship Racing,PS,1999,Racing,Ubisoft,0.52,0.35,0,0.06,0.93,66,8,tbd,,UDS,E
Final Fantasy Anthology,PS,1999,Role-Playing,Square EA,0.45,0.3,0,0.05,0.8,80,14,8.1,28,SquareSoft,T
Need for Speed: Porsche Unleashed,PS,1999,Racing,Electronic Arts,0.43,0.29,0,0.05,0.77,78,13,8.5,24,Eden Studios,E
Pro Pinball: Big Race USA,PS,1999,Simulation,Take-Two Interactive,0.37,0.25,0,0.04,0.66,69,4,tbd,,Cunning Developments,E
Parasite Eve II,PS,1999,Role-Playing,SquareSoft,0.32,0.22,0,0.04,0.58,79,14,9,77,SquareSoft,M
The Grinch,PS,1999,Adventure,Konami Digital Entertainment,0.29,0.2,0,0.03,0.52,55,8,,,VU Games,E
Razor Freestyle Scooter,PS,1999,Sports,Ubisoft,0.26,0.17,0,0.03,0.46,65,11,tbd,,Shaba Games,E
Lunar 2: Eternal Blue Complete,PS,1999,Role-Playing,Kadokawa Shoten,0.19,0.13,0,0.02,0.35,86,12,8.9,37,Game Arts,T
WipEout 3,PS,1999,Racing,Psygnosis,0.19,0.13,0,0.02,0.34,89,14,8.5,15,Psygnosis,E
Grandia,PS,1999,Role-Playing,Ubisoft,0.14,0.09,0,0.02,0.25,89,14,6.6,77,Game Arts,E
WCW Backstage Assault,PS,1999,Action,Electronic Arts,0.12,0.08,0,0.01,0.21,40,9,,,Kodiak Interactive,T
Harvest Moon: Back to Nature,PS,1999,Simulation,Ubisoft,0.11,0.07,0.12,0.02,0.32,82,6,9.3,78,Victor Interactive Software,E
Valkyrie Profile,PS,1999,Role-Playing,Enix Corporation,0.07,0.05,0.63,0.05,0.81,81,8,8.8,37,Tri-Ace,T
Surf Riders,PS,1999,Sports,Ubisoft,0.07,0.05,0,0.01,0.13,64,6,tbd,,ACOT,E
Digimon Digital Card Battle,PS,1999,Strategy,Namco Bandai Games,0.06,0.04,0,0.01,0.11,51,5,9,44,Bandai,T
ECW Anarchy Rulz,PS,1999,Fighting,Acclaim Entertainment,0.06,0.04,0,0.01,0.11,43,7,6.3,4,Acclaim,E
Woody Woodpecker Racing,PS,1999,Racing,Konami Digital Entertainment,0.06,0.04,0,0.01,0.11,46,4,,,VU Games,E
Bust A Groove 2,PS,1999,Misc,Enix Corporation,0.04,0.03,0.18,0.02,0.26,66,8,8.9,35,Metro,E
Incredible Crisis,PS,1999,Action,Titus,0.04,0.03,0,0.01,0.08,80,11,7.5,11,Polygon Magic,T
Dragon Valor,PS,1999,Role-Playing,Sony Computer Entertainment,0.04,0.03,0,0,0.07,57,9,8.3,10,Namco,T
Saiyuki: Journey West,PS,1999,Strategy,Tecmo Koei,0.03,0.02,0,0,0.05,73,9,7.1,9,Koei,E
Countdown Vampires,PS,1999,Adventure,Namco Bandai Games,0.02,0.01,0,0,0.04,41,6,tbd,,K2 LLC,M
Age of Empires II: The Age of Kings,PC,1999,Strategy,Microsoft Game Studios,0.01,0.08,0,0.01,0.09,92,21,9,801,Ensemble Studios,T
RayCrisis: Series Termination,PS,1999,Shooter,JVC,0.01,0.01,0,0,0.02,67,8,tbd,,Taito Corporation,E
Seaman,DC,1999,Simulation,Sega,0,0,0.52,0,0.52,82,24,8.4,16,Vivarium,T
SoulCalibur,DC,1999,Fighting,Namco Bandai Games,0,0,0.34,0,0.34,98,24,8.8,200,Namco,T
The Longest Journey,PC,1999,Adventure,Empire Interactive,0,0.01,0,0,0.02,91,26,8.9,439,Funcom,M
Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,3.05,1.41,0.02,0.2,4.68,98,19,7.7,299,Neversoft Entertainment,T
Driver 2,PS,2000,Action,Atari,2.36,2.1,0.02,0.25,4.73,62,14,7.7,92,Reflections Interactive,T
Midnight Club: Street Racing,PS2,2000,Racing,Take-Two Interactive,2,0.47,0.02,0.14,2.63,78,18,7.8,21,Angel Studios,T
Spyro: Year of the Dragon,PS,2000,Platform,Sony Computer Entertainment,1.93,1.58,0,0.19,3.71,91,15,8.8,207,Insomniac Games,E
Spider-Man,PS,2000,Action,Activision,1.7,1.25,0.02,0.16,3.13,87,19,9,107,Neversoft Entertainment,E
Tekken Tag Tournament,PS2,2000,Fighting,Namco Bandai Games,1.68,1.51,0.51,0.35,4.05,85,25,8.5,117,Namco,T
The Sims: Livin Large,PC,2000,Misc,Electronic Arts,1.67,1.18,0,0.13,2.99,82,23,6.6,20,Maxis,T
Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,94,22,8.9,779,SquareSoft,T
Madden NFL 2001,PS,2000,Sports,Electronic Arts,1.58,0.05,0,0.04,1.67,90,14,6.8,4,EA Sports,E
Crash Bash,PS,2000,Misc,Sony Computer Entertainment,1.56,1.47,0.19,0.17,3.39,68,12,8.2,99,Eurocom Entertainment Software,E
Madden NFL 2001,PS2,2000,Sports,Electronic Arts,1.19,0.07,0.05,0.2,1.5,91,25,7.7,7,EA Sports,E
NFL 2K1,DC,2000,Sports,Sega,1.02,0.05,0,0.02,1.09,97,22,6,47,Visual Concepts,E
Dave Mirra Freestyle BMX,PS,2000,Sports,Acclaim Entertainment,0.91,0.11,0,0.03,1.05,82,14,8.4,5,"Z-Axis, Ltd.",E
Dark Cloud,PS2,2000,Role-Playing,Sony Computer Entertainment,0.83,0.44,0.08,0.19,1.54,80,27,8.2,99,Level 5,T
SSX,PS2,2000,Sports,Electronic Arts,0.78,0.61,0.06,0.2,1.66,93,35,8.3,33,EA Sports Big,E
Smuggler's Run,PS2,2000,Racing,Take-Two Interactive,0.77,0.6,0,0.2,1.56,79,21,6.8,18,Rockstar San Diego,T
NFL Fever 2002,XB,2000,Sports,Microsoft Game Studios,0.74,0.21,0,0.04,0.99,79,24,8.5,10,Microsoft Game Studios,E
NBA Live 2001,PS,2000,Sports,Electronic Arts,0.7,0.47,0,0.08,1.25,86,10,8,6,EA Sports,E
Tokyo Xtreme Racer Zero,PS2,2000,Racing,Crave Entertainment,0.66,0.52,0.15,0.17,1.5,76,15,8.9,64,Genki,E
Action Bass,PS,2000,Action,Take-Two Interactive,0.64,0.43,0,0.07,1.14,51,8,tbd,,Vingt-et-un Systems,E
ATV: Quad Power Racing,PS,2000,Racing,Acclaim Entertainment,0.58,0.39,0,0.07,1.04,42,9,tbd,,Climax Group,E
NFL GameDay 2001,PS,2000,Sports,Sony Computer Entertainment,0.56,0.38,0,0.07,1,73,10,tbd,,989 Sports,E
Medal of Honor: Underground,PS,2000,Shooter,Electronic Arts,0.54,0.37,0,0.06,0.97,86,16,9,44,Dreamworks Interactive,T
007: The World is not Enough,PS,2000,Action,Electronic Arts,0.51,0.35,0,0.06,0.92,61,11,6.7,44,Black Ops Entertainment,T
NHL 2001,PS2,2000,Sports,Electronic Arts,0.47,0.37,0,0.12,0.96,85,22,8.1,9,EA Sports,E
NASCAR 2001,PS,2000,Racing,Electronic Arts,0.45,0.31,0,0.05,0.81,73,8,6.1,9,Black Box,E
Ready 2 Rumble Boxing: Round 2,PS2,2000,Fighting,Midway Games,0.4,0.31,0,0.1,0.81,75,20,tbd,,Midway,T
Jeremy McGrath Supercross 2000,PS,2000,Racing,Acclaim Entertainment,0.4,0.27,0,0.05,0.71,43,11,tbd,,Acclaim,E
NHL 2001,PS,2000,Sports,Electronic Arts,0.35,0.24,0,0.04,0.63,88,10,7.7,7,Page 44 Studios,E
Buzz Lightyear of Star Command,PS,2000,Platform,Activision,0.35,0.24,0,0.04,0.63,54,10,5.3,4,Traveller's Tales,E
Dino Crisis 2,PS,2000,Action,Virgin Interactive,0.34,0.49,0.28,0.1,1.21,86,13,9,91,Capcom,M
NASCAR 2001,PS2,2000,Racing,Electronic Arts,0.34,0.27,0,0.09,0.7,66,16,6.6,9,EA Sports,E
NFL Blitz 2001,PS,2000,Sports,Midway Games,0.33,0.22,0,0.04,0.59,70,6,tbd,,Midway,E
Street Fighter EX3,PS2,2000,Fighting,Virgin Interactive,0.32,0.25,0.2,0.08,0.85,64,17,7.9,31,Arika,T
Tenchu 2: Birth of the Stealth Assassins,PS,2000,Action,Activision,0.32,0.22,0,0.04,0.58,77,14,8.7,32,Acquire,M
The Bouncer,PS2,2000,Action,Sony Computer Entertainment,0.3,0.23,0.38,0.08,0.99,66,20,8,35,DreamFactory,T
Vagrant Story,PS,2000,Role-Playing,Crave Entertainment,0.3,0.2,0.3,0.06,0.87,92,19,8.3,129,SquareSoft,T
Mega Man X5,PS,2000,Platform,Capcom,0.3,0.21,0.2,0.05,0.75,76,10,8.9,55,Capcom,E
007 Racing,PS,2000,Racing,Electronic Arts,0.3,0.2,0,0.03,0.53,51,16,4.6,14,Eutechnyx,T
Ready 2 Rumble Boxing: Round 2,PS,2000,Fighting,Midway Games,0.29,0.2,0,0.03,0.52,68,5,tbd,,Point of View,T
Armored Core 2,PS2,2000,Simulation,Ubisoft,0.28,0.22,0.23,0.07,0.79,78,23,8.4,19,From Software,T
Unreal Tournament,PS2,2000,Shooter,Infogrames,0.28,0.22,0,0.07,0.58,77,23,6.8,13,Epic Games,M
Kessen,PS2,2000,Strategy,Electronic Arts,0.27,0.21,0.41,0.07,0.95,75,20,8.4,12,Koei,T
Summoner,PS2,2000,Role-Playing,THQ,0.25,0.2,0,0.07,0.51,74,16,7.8,12,Volition Inc.,T
Star Wars: Demolition,PS,2000,Racing,Activision,0.25,0.17,0,0.03,0.46,63,11,6.5,6,"Luxoflux, Inc.",T
Ridge Racer V,PS2,2000,Action,Namco Bandai Games,0.24,0.19,0.75,0.06,1.24,78,20,7.7,6,Namco,E
Dynasty Warriors 2,PS2,2000,Action,THQ,0.24,0.19,0.34,0.06,0.83,75,17,8.8,24,Omega Force,T
Resident Evil: Survivor,PS,2000,Action,Eidos Interactive,0.23,0.15,0.29,0.05,0.71,39,10,7,47,Capcom,M
Digimon World 2,PS,2000,Role-Playing,Namco Bandai Games,0.23,0.16,0.16,0.04,0.58,42,5,7.6,47,Bandai,E
Theme Park Roller Coaster,PS2,2000,Strategy,Electronic Arts,0.23,0.18,0,0.06,0.48,82,11,7.9,17,Bullfrog Productions,E
Cool Boarders 2001,PS,2000,Sports,Sony Computer Entertainment,0.23,0.16,0,0.03,0.41,56,10,tbd,,Idol Minds,E
Knockout Kings 2001,PS,2000,Fighting,Electronic Arts,0.23,0.15,0,0.03,0.41,84,11,8.5,6,EA Sports,T
NASCAR Heat,PS,2000,Racing,Hasbro Interactive,0.22,0.15,0,0.03,0.39,62,5,tbd,,Monster Games Inc.,E
TimeSplitters,PS2,2000,Shooter,Eidos Interactive,0.21,0.17,0,0.06,0.43,81,23,8,40,Free Radical Design,T
Silent Scope,PS2,2000,Shooter,Konami Digital Entertainment,0.19,0.15,0,0.05,0.38,63,23,tbd,,KCET,M
NFL GameDay 2001,PS2,2000,Sports,Sony Computer Entertainment,0.18,0.14,0,0.05,0.36,51,16,tbd,,SCEA,E
NCAA GameBreaker 2001,PS,2000,Sports,Sony Computer Entertainment,0.18,0.12,0,0.02,0.33,69,9,tbd,,989 Sports,E
FIFA 2001 Major League Soccer,PS,2000,Sports,Electronic Arts,0.18,0.12,0,0.02,0.32,85,10,7.8,5,EA Sports,E
Swing Away Golf,PS2,2000,Sports,Electronic Arts,0.17,0.13,0.18,0.04,0.52,78,15,tbd,,T&E Soft,E
Mega Man Legends 2,PS,2000,Adventure,Capcom,0.17,0.12,0.1,0.03,0.42,76,10,8.8,29,Capcom,E
Super Bust-A-Move,PS2,2000,Puzzle,Acclaim Entertainment,0.17,0.13,0,0.04,0.34,75,11,tbd,,Taito Corporation,E
Disney's The Emperor's New Groove,PS,2000,Platform,Sony Computer Entertainment,0.17,0.12,0,0.02,0.31,66,8,7.2,6,Disney Interactive,E
Army Men: Air Attack 2,PS,2000,Action,3DO,0.17,0.11,0,0.02,0.3,74,8,5.3,4,3DO,T
Mobile Suit Gundam: Journey to Jaburo,PS2,2000,Simulation,Namco Bandai Games,0.16,0.13,0.36,0.04,0.7,58,16,8.1,49,Bandai,T
Kengo: Master of Bushido,PS2,2000,Fighting,Ubisoft,0.16,0.13,0.06,0.04,0.39,62,13,8.4,8,Light Weight,M
Sky Odyssey,PS2,2000,Simulation,Sony Computer Entertainment,0.16,0.12,0,0.04,0.32,79,18,8.4,9,CAProduction,E
Looney Tunes Racing,PS,2000,Racing,Infogrames,0.16,0.11,0,0.02,0.29,71,11,tbd,,Circus Freak,E
Orphen: Scion of Sorcery,PS2,2000,Role-Playing,Activision,0.15,0.12,0,0.04,0.31,54,15,5.8,8,Shade,T
Rayman 2: Revolution,PS2,2000,Platform,Ubisoft,0.15,0.11,0,0.04,0.3,90,16,8.2,42,Ubisoft,E
NBA ShootOut 2001,PS,2000,Sports,Sony Computer Entertainment,0.15,0.1,0,0.02,0.27,71,10,tbd,,989 Sports,E
Sydney 2000,PS,2000,Sports,Eidos Interactive,0.15,0.1,0,0.02,0.27,57,10,tbd,,Attention To Detail,E
Evil Dead: Hail to the King,PS,2000,Adventure,THQ,0.15,0.1,0,0.02,0.27,51,8,6,7,Heavy Iron Studios,M
Star Trek: Invasion,PS,2000,Simulation,Activision,0.15,0.1,0,0.02,0.26,76,12,tbd,,Warthog,E
Fantavision,PS2,2000,Puzzle,Sony Computer Entertainment,0.14,0.11,0.19,0.04,0.47,72,18,6.3,9,SCEJ,E
WinBack: Covert Operations,PS2,2000,Shooter,Midas Interactive Entertainment,0.14,0.11,0,0.04,0.29,66,11,7.7,20,Omega Force,T
Real Pool,PS2,2000,Sports,Midas Interactive Entertainment,0.14,0.11,0,0.04,0.28,54,15,tbd,,Takara,E
Ultimate Fighting Championship,PS,2000,Fighting,Ubisoft,0.14,0.09,0,0.02,0.25,53,6,7.4,16,Opus,T
Army Men: Sarge's Heroes 2,PS,2000,Shooter,3DO,0.14,0.09,0,0.02,0.24,48,8,7.3,7,3DO,T
Q-Ball: Billiards Master,PS2,2000,Sports,Take-Two Interactive,0.13,0.1,0,0.04,0.27,65,9,tbd,,Ornith,E
NHL FaceOff 2001,PS,2000,Sports,Sony Computer Entertainment,0.13,0.09,0,0.02,0.23,78,11,tbd,,SolWorks,E
Surfing H3O,PS2,2000,Sports,Take-Two Interactive,0.12,0.1,0,0.03,0.25,46,15,4.6,8,Opus,E
HBO Boxing,PS,2000,Fighting,Acclaim Entertainment,0.12,0.08,0,0.01,0.21,26,7,4,5,Osiris Studios,E
Mortal Kombat: Special Forces,PS,2000,Fighting,Midway Games,0.12,0.08,0,0.01,0.21,28,7,2.4,17,Midway,M
Breath of Fire IV,PS,2000,Role-Playing,Capcom,0.11,0.08,0.34,0.04,0.56,83,10,8.9,45,Capcom,T
EverGrace,PS2,2000,Role-Playing,Ubisoft,0.1,0.08,0.15,0.03,0.35,59,12,7.8,4,From Software,T
Eternal Ring,PS2,2000,Role-Playing,Ubisoft,0.1,0.07,0.1,0.03,0.3,62,13,5.3,9,From Software,T
Wild Wild Racing,PS2,2000,Racing,Interplay,0.1,0.08,0,0.03,0.21,64,13,tbd,,Rage Software,E
ESPN Winter X Games: Snowboarding 2002,PS2,2000,Sports,Konami Digital Entertainment,0.1,0.08,0,0.03,0.21,64,14,7.9,8,Konami,T
Speedball 2100,PS,2000,Sports,Empire Interactive,0.1,0.07,0,0.01,0.18,60,5,tbd,,Bitmap Brothers,E
Ball Breakers,PS,2000,Action,Take-Two Interactive,0.1,0.07,0,0.01,0.18,68,10,5.3,4,Lost Toys,E
Atari Anniversary Edition Redux,PS,2000,Misc,Infogrames,0.1,0.07,0,0.01,0.18,72,5,,,Digital Eclipse,E
NCAA Final Four 2001,PS2,2000,Sports,Sony Computer Entertainment,0.09,0.07,0,0.02,0.19,49,10,tbd,,989 Sports,E
World Destruction League: Thunder Tanks,PS,2000,Action,3DO,0.09,0.06,0,0.01,0.17,35,4,1.2,6,3DO,T
Polaris SnoCross,PS,2000,Racing,Vatical Entertainment,0.09,0.06,0,0.01,0.16,57,6,tbd,,Vicarious Visions,E
NCAA Final Four 2001,PS,2000,Sports,Sony Computer Entertainment,0.09,0.06,0,0.01,0.16,55,7,tbd,,989 Sports,E
Alien Resurrection,PS,2000,Shooter,Fox Interactive,0.09,0.06,0,0.01,0.16,61,12,7.5,15,Argonaut Games,M
Romance of the Three Kingdoms VII,PS2,2000,Strategy,Tecmo Koei,0.08,0.06,0.16,0.02,0.32,72,10,8.7,11,Koei,E
RC Revenge Pro,PS2,2000,Racing,Acclaim Entertainment,0.08,0.06,0,0.02,0.17,49,13,7.6,7,Acclaim,E
World Destruction League: Thunder Tanks,PS2,2000,Action,3DO,0.08,0.07,0,0.02,0.17,65,16,5.9,7,3DO,T
Disney's Donald Duck: Goin' Quackers,PS,2000,Platform,Ubisoft,0.08,0.06,0,0.01,0.15,65,4,7,10,Ubisoft Shanghai,E
Disney's The Lion King: Simba's Mighty Adventure,PS,2000,Action,Activision,0.08,0.06,0,0.01,0.15,30,5,6.9,9,Paradox Development,E
Destruction Derby Raw,PS,2000,Racing,Sony Computer Entertainment,0.08,0.05,0,0.01,0.14,69,9,7.3,14,Studio 33,E
NCAA GameBreaker 2001,PS2,2000,Sports,Sony Computer Entertainment,0.07,0.06,0,0.02,0.15,57,9,tbd,,989 Sports,E
Chicken Run,PS,2000,Adventure,Eidos Interactive,0.07,0.05,0,0.01,0.13,75,7,6.2,6,Blitz Games,E
MTV Sports: Pure Ride,PS,2000,Sports,THQ,0.07,0.05,0,0.01,0.12,70,9,tbd,,Radical Entertainment,
Tales of Destiny II,PS,2000,Role-Playing,Namco Bandai Games,0.06,0.04,0.66,0.05,0.81,78,9,8.7,31,Namco,T
MotoGP,PS2,2000,Racing,Namco Bandai Games,0.06,0.05,0.14,0.02,0.27,77,16,6,5,Namco,E
F1 Championship Season 2000,PS2,2000,Racing,Electronic Arts,0.06,0.05,0.03,0.02,0.16,71,11,tbd,,EA Sports,E
Ring of Red,PS2,2000,Strategy,Konami Digital Entertainment,0.06,0.04,0,0.01,0.11,82,15,8.7,11,Konami,T
You Don't Know Jack: Mock 2,PS,2000,Misc,Vivendi Games,0.06,0.04,0,0.01,0.1,82,6,tbd,,Jellyvision,E
